Date,Price,
04/02/2016,174.949997,
04/02/2016,175.610001,
05/02/2016,175.039993,
05/02/2016,172.309998,
08/02/2016,170.289993,
08/02/2016,169.940002,
09/02/2016,168.179993,
09/02/2016,169.990005,
10/02/2016,170.929993,
10/02/2016,169.880005,
11/02/2016,167.259995,
11/02/2016,167.699997,
12/02/2016,169.539993,
12/02/2016,171.139999,
16/02/2016,173.199997,
16/02/2016,174.009995,
17/02/2016,175.320007,
17/02/2016,176.860001,
18/02/2016,177.199997,
18/02/2016,176.110001,
19/02/2016,175.279999,
19/02/2016,176.070007,
22/02/2016,177.779999,
22/02/2016,178.589996,
23/02/2016,177.919998,
23/02/2016,176.350006,
24/02/2016,174.789993,
